6,6,1
12,27,2
12,26,-1
12,25,2
12,24,-1
12,23,2
12,22,-1
12,21,-1
12,20,2
13,27,-1
13,26,-1
13,25,-1
13,24,-1
13,23,-1
13,22,-1
13,21,-1
13,20,2
14,27,-1
14,26,-1
14,25,-1
14,24,-1
14,23,-1
14,22,-1
14,21,-1
14,20,-1
15,27,-1
15,26,-1
15,25,-1
15,24,-1
15,23,-1
15,22,-1
15,21,-1
15,20,2
16,27,2
16,26,-1
16,25,2
16,24,-1
16,23,2
16,22,-1
16,21,-1
16,20,2
12,28,-1
12,29,-1
12,30,-1
12,31,-1
12,32,-1
12,33,-1
12,34,-1
12,35,2
13,28,-1
13,29,-1
13,30,-1
13,31,-1
13,32,-1
13,33,-1
13,34,-1
13,35,2
14,28,-1
14,29,-1
14,30,-1
14,31,-1
14,32,-1
14,33,-1
14,34,-1
14,35,-1
15,28,-1
15,29,-1
15,30,-1
15,31,-1
15,32,-1
15,33,-1
15,34,-1
15,35,2
16,28,-1
16,29,-1
16,30,-1
16,31,-1
16,32,-1
16,33,-1
16,34,-1
16,35,2
